q_id,doc_id,question,answer,doc_path,documents,deck_url,arithmetic_expression,evidence_pages,answer_type,resoning_type,directory_exists
1,2012-02-20fy11roadshow-120221022442-phpapp02_95,How much is the Trading Operating Profit in the year Nestlé achieved the third largest Organic Growth in 10 years?,12.5 bn,2012-02-20fy11roadshow-120221022442-phpapp02_95.pdf,"['2012-02-20fy11roadshow-120221022442-phpapp02_95.pdf', 'anaofspine-101212113106-phpapp01_95.pdf', 'foodstartups-10settembre-150213043959-conversion-gate01_95.pdf', 'allindiapressrelease-indiarealestateoutlookreport-150128001550-conversion-gate02_95.pdf', 'augustteamsworkpresentation1-151002172254-lva1-app6892_95.pdf', 'basicsofphitsmeasurementslideshare-140909024224-phpapp01_95.pdf', 'bearing1-151117114834-lva1-app6892_95.pdf', 'associationmappinginplants-150413205026-conversion-gate01_95.pdf', 'benchmark-141008115150-conversion-gate01_95.pdf']",https://www.slideshare.net/Nestle_IR/20120220-fy-11roadshow,,"[4, 6]",Single-Span,Multi-Hop,True
3,2012-02-20fy11roadshow-120221022442-phpapp02_95,"Which achieved better performance in the year Nestlé acquired Prometheus, Organic Growth or Real Internal Growth?",Organic Growth,2012-02-20fy11roadshow-120221022442-phpapp02_95.pdf,"['2012-02-20fy11roadshow-120221022442-phpapp02_95.pdf', 'cerebralhemorrhage-090619101057-phpapp01_95.pdf', 'asthmappt2007-130315043240-phpapp01_95.pdf', 'asdaaburson-marstellerarabyouthsurvey2014-140407100615-phpapp01_95.pdf', 'anatomyofboneandcartilage1-150828115100-lva1-app6892_95.pdf', 'procurement-policy-and-critical-equipment-supply-rio-oil-gas-2012-petrobras-121003090733-phpapp01_95.pdf', 'newmicrosoftpowerpointpresentation-140302025348-phpapp01_95.pdf', 'ccdenguetaiwo-150925173124-lva1-app6892_95.pdf', 'connectedcarsecurity-150902031020-lva1-app6892_95.pdf', 'campaignanalysis02-mahindrae2olaunchmarch282013-130328080338-phpapp01_95.pdf']",https://www.slideshare.net/Nestle_IR/20120220-fy-11roadshow,,"[4, 11]",Single-Span,Multi-Hop & Discrete,True
5,2012-02-20fy11roadshow-120221022442-phpapp02_95,"In which year did the company that divested Eismann in 2004 achieve higher Organic Growth, 2003 or 2004?",2003,2012-02-20fy11roadshow-120221022442-phpapp02_95.pdf,"['2012-02-20fy11roadshow-120221022442-phpapp02_95.pdf', 'colawarscontinue-final-140515114621-phpapp02_95.pdf', 'q4fy14earningspresentationfinalschedules-140804061403-phpapp01_95.pdf', 'bearing1-151117114834-lva1-app6892_95.pdf', 'indonesiamobilemarketresearch-ag-150106055934-conversion-gate02_95.pdf']",https://www.slideshare.net/Nestle_IR/20120220-fy-11roadshow,,"[6, 12]",Single-Span,Multi-Hop & Discrete,True
7,2012-02-20fy11roadshow-120221022442-phpapp02_95,What is the name of the brand which Nestlé acquired in the year Findus was divested?,PowerBar,2012-02-20fy11roadshow-120221022442-phpapp02_95.pdf,"['2012-02-20fy11roadshow-120221022442-phpapp02_95.pdf', 'donorretentionisntspeeddating-150827141331-lva1-app6891_95.pdf', 'dw4o1lzzr1urnmyylxae-140519214231-phpapp01_95.pdf', 'asixstepcontentmarketingmodel-120206005134-phpapp01_95.pdf', 'finalppt-140630033917-phpapp02_95.pdf', 'researchreportonfootballinindia2015-150122112755-conversion-gate01_95.pdf', 'amazonbusinessmodelfinal-12886154816988-phpapp02-121203003732-phpapp02_95.pdf', 'nativesummit-140908132043-phpapp01_95.pdf', 'chapter3-140622095458-phpapp02_95.pdf']",https://www.slideshare.net/Nestle_IR/20120220-fy-11roadshow,,"[11, 12]",Single-Span,Multi-Hop,True
9,2012-02-20fy11roadshow-120221022442-phpapp02_95,"What is the percentage of the 10-year annual average of the Real Internal Growth for the company which has the tagline ""Good Food, Good Life""?",3.6,2012-02-20fy11roadshow-120221022442-phpapp02_95.pdf,"['2012-02-20fy11roadshow-120221022442-phpapp02_95.pdf', 'afabric-manufacturing-150314104020-conversion-gate01_95.pdf', 'finalppthighrise-130504010636-phpapp02_95.pdf', 'cmigq7qvsnisuodbt0y9-140511134622-phpapp01_95.pdf', 'chapter7-nervoussystem-151216152753_95.pdf', 'acuteappendicitis-110202065502-phpapp02_95.pdf', 'rememberingvacantlots-residentsuseofinformalurbangreenspaceaschildrenandteenagersinjapanandaustralia-150529114046-lva1-app6892_95.pdf', 'newmicrosoftpowerpointpresentation-140302025348-phpapp01_95.pdf', 'copyofuntitleddesign2-140627143425-phpapp02_95.pdf']",https://www.slideshare.net/Nestle_IR/20120220-fy-11roadshow,,"[0, 6]",Single-Span,Multi-Hop,True
18,alcatel-lucenteesoverview-120403090342-phpapp01_95,What is the title of the presentation that the company which had won 7 Nobel Prizes made for the OVERVIEW of 2012?,AT THE SPEED OF IDEAS,alcatel-lucenteesoverview-120403090342-phpapp01_95.pdf,"['alcatel-lucenteesoverview-120403090342-phpapp01_95.pdf', 'asdaaburson-marstellerarabyouthsurvey2014-140407100615-phpapp01_95.pdf', 'astudyoncustomerpreferebceandsatisfactiontowardsbajajbikes-150814133516-lva1-app6891_95.pdf', 'finalppt-140630033917-phpapp02_95.pdf', 'autonomouscar-140901094343-phpapp02_95.pdf', 'automobileindustryinindia-130807012739-phpapp01_95.pdf', 'ddoseattle-150627210357-lva1-app6891_95.pdf']",https://www.slideshare.net/adrnord/alcatellucent-overview-2012,,"[0, 4]",Single-Span,Multi-Hop,True
20,alcatel-lucenteesoverview-120403090342-phpapp01_95,Which region of the world accounts for the highest percentage of revenues in the year 12% GROWTH is achieved?,N. America,alcatel-lucenteesoverview-120403090342-phpapp01_95.pdf,"['alcatel-lucenteesoverview-120403090342-phpapp01_95.pdf', 'digjourneydigitalmaturitymatrixenglish150309-150310145548-conversion-gate01_95.pdf', 'newmicrosoftpowerpointpresentation-140302025348-phpapp01_95.pdf', 'compostingfinal-150126084912-conversion-gate01_95.pdf', 'b3m5kaeqm2w8n4bwcesw-140602121350-phpapp02_95.pdf']",https://www.slideshare.net/adrnord/alcatellucent-overview-2012,,"[6, 19]",Single-Span,Multi-Hop & Discrete,True
22,alcatel-lucenteesoverview-120403090342-phpapp01_95,Where does the company which was awarded 2400 Patents in 2010 have the IP Transformation Center in Europe?,Belgium,alcatel-lucenteesoverview-120403090342-phpapp01_95.pdf,"['alcatel-lucenteesoverview-120403090342-phpapp01_95.pdf', 'assessmentoffetalwellbeinginpregnancyandlabour-jaipur-150303105805-conversion-gate01_95.pdf', 'mobile-advertising-trends-report-2014-140925094854-phpapp02_95.pdf', 'connectivetissue-150209063549-conversion-gate01_95.pdf']",https://www.slideshare.net/adrnord/alcatellucent-overview-2012,,"[4, 6]",Single-Span,Multi-Hop,True
26,8eeomnwqsmdmin6levsv-signature-2693c633d5e2c6d5cfd1372a7aa1d1a8df13f59c942a848ca9497686d609bddd-poli-150601151510-lva1-app6892_95,"Which country spend the most in Mobile display ads in the year 79300 Romanian use Twitter, according to IAB Europe AdEx Benchmark (2013)?",Turkey,8eeomnwqsmdmin6levsv-signature-2693c633d5e2c6d5cfd1372a7aa1d1a8df13f59c942a848ca9497686d609bddd-poli-150601151510-lva1-app6892_95.pdf,"['8eeomnwqsmdmin6levsv-signature-2693c633d5e2c6d5cfd1372a7aa1d1a8df13f59c942a848ca9497686d609bddd-poli-150601151510-lva1-app6892_95.pdf', 'phstartupreportv5-130727005123-phpapp02_95.pdf', 'agiledatascience-140624145954-phpapp02_95.pdf', '2014-11-14-inriaprovappt-141112043127-conversion-gate02_95.pdf', 'nativesummit-140908132043-phpapp01_95.pdf', 'dieselenginelubrication-150205043455-conversion-gate02_95.pdf', 'cdocumentsandsettingsamitsirmydocumentsmycompleteddownloadsmicromeritics-090805003354-phpapp02_95.pdf', 'chapter-3-seawater-160218031855_95.pdf', 'beerindustryfinalslides-110814110012-phpapp01_95.pdf']",https://www.slideshare.net/alexandrubadut/mobile-awareness-48846792,,"[5, 9]",Single-Span,Multi-Hop & Discrete,True
29,8eeomnwqsmdmin6levsv-signature-2693c633d5e2c6d5cfd1372a7aa1d1a8df13f59c942a848ca9497686d609bddd-poli-150601151510-lva1-app6892_95,"Which country had the higher percentage of Tablet Pageviews in June 2014, Russia or the country where 61 million euros was spent in online display ads in 2013?",Russia,8eeomnwqsmdmin6levsv-signature-2693c633d5e2c6d5cfd1372a7aa1d1a8df13f59c942a848ca9497686d609bddd-poli-150601151510-lva1-app6892_95.pdf,"['8eeomnwqsmdmin6levsv-signature-2693c633d5e2c6d5cfd1372a7aa1d1a8df13f59c942a848ca9497686d609bddd-poli-150601151510-lva1-app6892_95.pdf', 'everything10minpano9-15-150904223222-lva1-app6892_95.pdf', 'citizenscience-practiceandpolicy-huji-151214131928_95.pdf', 'ardentcapitalandthailandinvestments2014-01-15v3-140120212530-phpapp02_95.pdf', 'cerebralhemorrhage-090619101057-phpapp01_95.pdf', 'afabric-manufacturing-150314104020-conversion-gate01_95.pdf', 'colors-141027065047-conversion-gate01_95.pdf']",https://www.slideshare.net/alexandrubadut/mobile-awareness-48846792,,"[5, 8]",Single-Span,Multi-Hop & Discrete,True
